Entity Type,Operating Status,Out of Service Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,USDOT Number,State Carrier ID Number,MC/MX/FF Number(s),DUNS Number,Power Units,Drivers,MCS-150 Form Date,MCS-150 Mileage (Year)
CARRIER,ACTIVE,None,ATLANTIC OIL COMPANY INC,,"52 MOUNTAINEER DR
            FRANKLIN, WV   26807",(304) 358-2242,"P O BOX 297
          FRANKLIN, WV   26807-0297",2851,,,16-060-709,2,1,02/11/2019,"10,000 (2014)"
CARRIER,ACTIVE,None,CARDINAL CONSTRUCTION COMPANY,,"4300 FIRST AVENUE
            NITRO, WV   25143",(304) 755-8178,"PO BOX 429
          NITRO, WV   25143-0425",2862,,,00-501-7132,2,2,02/21/2008,
CARRIER,ACTIVE,None,BECKWITH LUMBER COMPANY INC,,"34443 SENECA TRAIL
            SLATYFORK, WV   26291",(304) 572-1220,"PO BOX 39
          SLATYFORK, WV   26291-0039",2912,,,50-146-26,4,3,04/27/2023,"4,600 (2022)"
CARRIER,ACTIVE,None,BUD ANTLE INC,,"2959 MONTEREY SALINAS HWY
            MONTEREY, CA   93940",(831) 641-4200,"2959 MONTEREY SALINAS HWY
          MONTEREY, CA   93940",2934,,,61-902-4208,88,50,04/22/2023,"803,038 (2022)"
CARRIER,AUTHORIZED FOR Property,None,TREVIS BERRY TRANSPORTATION,,"655 E LUCHESSA
            GILROY, CA   95020",(408) 842-8238,"PO BOX 1802
          GILROY, CA   95021",2955,,MC-145872,49-233-950,41,34,05/31/2023,"2,414,751 (2022)"
CARRIER,AUTHORIZED FOR Property,None,CROWN WORLDWIDE MOVING AND STORAGE LLC,,"14826 WICKS BLVD
            SAN LEANDRO, CA   94577",(510) 895-8050,"14826 WICKS BLVD
          SAN LEANDRO, CA   94577",2970,,MC-138953,59-591-016,25,18,09/25/2023,"100,000 (2022)"
CARRIER,"AUTHORIZED FOR Property, HHG",None,COLONIAL VAN & STORAGE INC,,"6001 88TH ST
            SACRAMENTO, CA   95828",(916) 381-1372,"6001 88TH ST
          SACRAMENTO, CA   95828",2973,,MC-127007,92-164-74,36,20,05/05/2023,"145,000 (2023)"
CARRIER,ACTIVE,None,W S BUNCH COMPANY,,"1735 NORTH 42ND ST
            OMAHA, NE   68111",(402) 558-4242,"1735 NORTH 42ND ST
          OMAHA, NE   68111",2981,,,76-974-765,4,7,01/31/2023,"14,707 (2021)"
CARRIER,ACTIVE,None,ABC MOVING & STORAGE,,"5453 24TH ST
            RIVERSIDE, CA   92509-2208",,"5453 24TH ST
          RIVERSIDE, CA   92509-2208",2987,,,05-197-8583,4,5,,
CARRIER,ACTIVE,None,ATHENS SEED COMPANY INC,ATHENS SEED COMPANY,"63 DEPOT STREET
            WATKINSVILLE, GA   30677",(706) 769-0828,"PO BOX 387
          WATKINSVILLE, GA   30677",3003,,,79-142-8055,7,7,12/01/2023,"570,899 (2022)"
CARRIER,ACTIVE,None,DAWN INDUSTRIES INC,PAR STEEL SHELVING CO,"7527 W 20TH AVE
            HIALEAH, FL   33014-3728",(305) 821-3000,"7527 W 20TH AVE
          HIALEAH, FL   33014-3728",3006,,,06-914-3113,2,2,,
CARRIER,ACTIVE,None,MEARS FLORAL PRODUCTS,,"1222 SOUTH  SCENIC
            SPRINGFIELD, MO   65802",(417) 862-4394,"PO BOX 4347
          SPRINGFIELD, MO   65808",3040,,,71-699-49,5,5,10/13/2023,"363,934 (2022)"
CARRIER/SHIPPER/BROKER,AUTHORIZED FOR Property,None,DAIRY FARMERS OF AMERICA INC,,"1405 N 98TH STREET
            KANSAS CITY, KS   66111",(816) 801-6384,"3659 E C STREET
          GREELEY, CO   80631",3042,,MC-159792,83-390-5946,165,198,09/14/2023,"9,186,849 (2022)"
CARRIER,ACTIVE,None,MID AM HOLDINGS LLC,MID AM BUILDING SUPPLY INC,"1615 OMAR BRADLEY DRIVE
            MOBERLY, MO   65270",(660) 263-2140,"P O BOX 645
          MOBERLY, MO   65270",3045,,,--,46,47,05/09/2023,"2,906,552 (2022)"
CARRIER/SHIPPER/CARGO TANK,AUTHORIZED FOR Property,None,MFA OIL COMPANY,MFA OIL OR MFA PROPANE,"ONE RAY YOUNG DRIVE
            COLUMBIA, MO   65201",(573) 876-0381,"PO BOX 519
          COLUMBIA, MO   65205-0519",3051,,MC-357046,69-651-23,655,497,08/14/2023,"9,418,167 (2022)"
CARRIER,ACTIVE,None,MISSOURI GOLDFISH HATCHERY INC,,"517 HATCHERY RD
            STOVER, MO   65078",(573) 377-2343,"517 HATCHERY RD
          STOVER, MO   65078",3061,,,31-150-360,1,2,11/20/2023,"24,771 (2022)"
CARRIER/SHIPPER,ACTIVE,None,PARKER SOLVENTS COMPANY INC,,"3619 WHEELER AVE
            FORT SMITH, AR   72901-6642",(501) 785-2321,"P O BOX 10448
          FORT SMITH, AR   72917-0448",3095,,,65-649-00,3,3,04/21/2023,"200,000 (2022)"
CARRIER,ACTIVE,None,PARKS BROTHERS FARM INC,,"6733 PARKS ROAD
            VAN BUREN, AR   72956",(479) 474-1125,"6733 PARKS ROAD
          VAN BUREN, AR   72956",3097,,,65-321-747,12,9,02/14/2023,"350,000 (2022)"
CARRIER,ACTIVE,None,GRAY BROS EQUIP INC,,"2900 WHEELER AVE
            FORT SMITH, AR   72901",(479) 646-7369,"2900 WHEELER AVE
          FORT SMITH, AR   72901",3125,,,35-499-458,5,3,03/18/2022,"10,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,POWELL TRUCKING AND LIVE HAUL,,"400 W MAIN
            GREEN FOREST, AR   72638",(870) 438-6904,"P O  BOX 368
          GREEN FOREST, AR   72638",3185,,MC-1325098,--,15,12,06/27/2022,"1,459,405 (2021)"
CARRIER,ACTIVE,None,WELSCO INC,,"9006 CRYSTAL HILL RD
            NORTH LITTLE ROCK, AR   72113-6693",(501) 771-1204,"9006 CRYSTAL HILL RD
          NORTH LITTLE ROCK, AR   72113",3236,,,63-574-20,60,56,06/01/2023,"1,286,020 (2022)"
CARRIER,NOT AUTHORIZED,None,WESSON FARMS INC,,"HWY 158 #25 VICTORIA RD
            OSCEOLA, AR   72370-9802",(501) 563-2674,"BOX 9001
          OSCEOLA, AR   72370-9802",3244,,MC-133044,69-037-77,3,3,10/03/2012,
CARRIER,ACTIVE,None,WEST TREE SERVICE LLC,,"6300 FORBING RD
            LITTLE ROCK, AR   72209",(501) 978-6500,"6300 FORBING RD
          LITTLE ROCK, AR   72209",3245,,,35-566-082,213,187,06/08/2022,"1,024,000 (2021)"
CARRIER,NOT AUTHORIZED,None,PLANT TRUCK LINE INC,,"149 BOLTON SULLIVAN DR
            HEBER SPRINGS, AR   72543-9791",(501) 362-3640,"149 BOLTON SULLIVAN DR
          HEBER SPRINGS, AR   72543-9791",3256,,MC-120895,00-786-7450,9,10,05/27/2005,"160,000 (2004)"
CARRIER,AUTHORIZED FOR Property,None,OAKLEY TRUCKING INC,,"3400 GRIBBLE STREET
            NORTH LITTLE ROCK, AR   72114",(501) 320-8424,"3400 GRIBBLE STREET
          NORTH LITTLE ROCK, AR   72114",3259,,MC-156647,71-255-657,860,860,03/28/2023,"72,198,610 (2022)"
CARRIER,ACTIVE,None,OLIVETTE SUPPLY CO INC,,"1224 SHILOH RD
            GREERS FERRY, AR   72067",(501) 250-7709,"1224 SHILOH RD
          GREERS FERRY, AR   72067",3267,,,--,1,1,06/08/2022,"10,000 (2020)"
CARRIER,ACTIVE,None,OZARK STEEL CO INC,,"1700 S SCHOOL AVE
            FAYETTEVILLE, AR   72701-7150",(479) 442-7602,"PO DRAWER  1167
          FAYETTEVILLE, AR   72702-1167",3294,,,03-548-6034,4,5,04/04/2007,"5,000 (2006)"
CARRIER,ACTIVE,None,TREADWAY FISHERIES INC,,"7667 HWY 13 N
            CARLISLE, AR   72024-8604",(870) 854-5011,"7667 HWY 13 N
          CARLISLE, AR   72024-8604",3310,,,91-678-482,1,1,09/24/2023,"139,795 (2022)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,TYSON FOODS INC,TYSON,"2200 DON TYSON PARKWAY CP393
            SPRINGDALE, AR   72762",(479) 290-4000,"PO BOX 2020 AR07628
          SPRINGDALE, AR   72764",3327,,MC-145655,69-037-02,"2,987","2,949",11/28/2023,"181,108,918 (2022)"
CARRIER,ACTIVE,None,WINDSOR REPUBLIC DOOR INC,REPUBLIC DOORS AND FRAMES,"155 REPUBLIC DRIVE
            MCKENZIE, TN   38201-5226",(731) 352-3383,"155 REPUBLIC DRIVE
          MCKENZIE, TN   38201-5226",3347,,,14-362-0750,2,2,07/02/2013,"12,000 (2012)"
CARRIER/SHIPPER,AUTHORIZED FOR Property,None,LVL INC,,"1301 MCNEIL DRIVE
            NORTH LITTLE ROCK, AR   72117",(501) 945-0700,"PO BOX 16088
          LITTLE ROCK, AR   72231-6088",3348,,MC-152764,84-934-942,39,61,12/14/2023,"4,385,455 (2022)"
CARRIER,AUTHORIZED FOR Property,None,KEITH STAGGS,RAYMOND VAUGHN TRUCKING,"100 TIFFANY LANE
            PARAGOULD, AR   72450",(870) 476-5571,"102 CR 7594
          JONESBORO, AR   72405",3350,,MC-307022,--,1,1,10/06/2023,"88,633 (2023)"
CARRIER/SHIPPER/CARGO TANK,ACTIVE,None,WRD INC,WHITE RIVER DISTRIBUTORS INC,"720 RAMSEY
            BATESVILLE, AR   72501",(870) 793-2374,"P O BOX 2037
          BATESVILLE, AR   72503",3402,,,19-645-9432,1,3,05/31/2023,"4,733 (2022)"
CARRIER,ACTIVE,None,WILLIAMS DIESEL SERVICE,,"5986 HWY 70 WEST
            WEST MEMPHIS, AR   72301",(870) 735-6822,"P O BOX 4
          WEST MEMPHIS, AR   72303-0004",3424,,,03-566-4507,1,2,04/01/2004,250 (2001)
CARRIER,ACTIVE,None,SUGAR CREEK FOODS,ESKIMO PIE FOODSERVICE,"301 N EL PASO AVE
            RUSSELLVILLE, AR   72801-3721",(479) 968-1005,"P O BOX 747
          RUSSELLVILLE, AR   72811-0747",3527,,,10-729-0900,3,4,06/24/2002,
CARRIER,ACTIVE,None,TAYLOR AND STUCKEY INC,,"10415 STUCKEY LANE
            TRUMANN, AR   72472",(870) 483-7625,"10415 STUCKEY LANE
          TRUMANN, AR   72472",3550,,,35-651-975,9,7,08/07/2023,"10,000 (2018)"
CARRIER,ACTIVE,None,THARP PALLET COMPANY INC,,"3350 FLORAL RD
            FLORAL, AR   72534-9735",(501) 345-2901,"PO BOX 104
          FLORAL, AR   72534-0104",3566,,,14-648-752,6,6,06/15/2022,"466,491 (2020)"
CARRIER,ACTIVE,None,M D THOMPSON & SON CO,HI-GRADE OIL CO,"218 S EDMONDS
            MCCRORY, AR   72101",(870) 731-2526,"PO BOX 388
          MCCRORY, AR   72101",3577,,,35-578-897,1,3,02/08/2023,"20,000 (2022)"
CARRIER,NOT AUTHORIZED,None,YANKEE ENTERPRISES INC,M&M MOVING & STORAGE,"320A N HWY 62-65
            HARRISON, AR   72601",(870) 741-5290,"320A N HWY 62-65
          HARRISON, AR   72601",3624,,MC-107803,--,1,6,02/22/2023,1 (2022)
CARRIER,ACTIVE,None,EVERLAST FITNESS MFG CORP,,"1900 HWY DD
            MOBERLY, MO   65270",(660) 263-4381,"PO BOX 657
          MOBERLY, MO   65270",3649,,,79-108-6143,2,1,01/03/2023,"1,236 (2022)"
CARRIER,AUTHORIZED FOR Property,None,NOTHAUS TRUCKING LLC,,"3064 HIGHWAY H
            SALEM, MO   65560",(573) 247-0902,"3064 HIGHWAY H
          SALEM, MO   65560",3661,,MC-233546,--,3,3,02/06/2022,"186,760 (2021)"
CARRIER,ACTIVE,None,NORTH MISSOURI CONSTRUCTION INC,,"1021 S MITCHELL A
            CHILLICOTHE, MO   64601",(660) 646-5933,"PO BOX 617
          CHILLICOTHE, MO   64601",3663,,,47-723-853,42,19,03/31/2023,"440,000 (2022)"
CARRIER,ACTIVE,None,PARKHURST MANUFACTURING CO INC,,"18997 HWY Y
            SEDALIA, MO   65301-2224",(660) 826-8685,"P O BOX 1323
          SEDALIA, MO   65302-1323",3669,,,71-291-90,1,2,09/09/2022,"6,500 (2021)"
CARRIER/SHIPPER/CARGO TANK,AUTHORIZED FOR Property,None,MFA INCORPORATED,,"201 RAY YOUNG DR
            COLUMBIA, MO   65201",(573) 876-5402,"201 RAY YOUNG DR
          COLUMBIA, MO   65201",3686,,MC-335675,69-651-49,846,845,06/26/2023,"8,078,942 (2022)"
CARRIER,ACTIVE,None,PRESTRESSED CASTING CO,,"1600 S SCENIC
            SPRINGFIELD, MO   65807",(417) 869-7350,"PO BOX 3499 GS
          SPRINGFIELD, MO   65808",3704,,,--,9,11,06/30/2023,"149,395 (2022)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,NEW PRIME INC,PRIME INC,"2740 NORTH MAYFAIR AVE
            SPRINGFIELD, MO   65803",(417) 866-0001,"PO BOX 4208
          SPRINGFIELD, MO   65808",3706,,MC-140665,15-218-2473,"6,706","8,058",02/06/2023,"852,572,421 (2022)"
CARRIER,ACTIVE,None,OZARK FISHERIES INC,,"1100 OZARK FISHERIES RD
            STOUTLAND, MO   65567",(573) 381-0062,"1100 OZARK FISHERIES RD
          STOUTLAND, MO   65567-0020",3729,,,31-150-188,1,1,09/29/2022,"20,000 (2021)"
CARRIER/SHIPPER,AUTHORIZED FOR Property,None,GENUINE PARTS COMPANY,NAPA RAYLOC RMDS QUAKER CITY MOTOR PARTS GLOBAL PARTS,"2704 BOULDERCREST RD
            ATLANTA, GA   30316",(404) 243-1430,"2999 WILDWOOD PARKWAY
          ATLANTA, GA   30339",3774,,MC-168488,--,110,78,06/16/2023,"117,123,279 (2022)"
CARRIER,ACTIVE,None,G B CHAMBERLAND & SONS INC,,"389 MAIN ST
            SAINT AGATHA, ME   04772",(207) 543-7583,"PO BOX 206
          SAINT AGATHA, ME   04772",3780,,,01-906-4153,1,2,11/09/2006,850 (2005)
CARRIER,AUTHORIZED FOR Property,None,DOUGLAS VAN SHANNON,VAN SHANNON FARMS,"10813 EAST BUSINESS 60
            MOUNTAIN GROVE, MO   65711",(417) 926-2029,"10813 EAST BUSINESS 60
          MOUNTAIN GROVE, MO   65711",3803,,MC-460111,--,4,4,02/14/2022,"281,125 (2021)"
CARRIER,ACTIVE,None,SMITH FLOORING INC,,"1501 W US HIGHWAY 60
            MOUNTAIN VIEW, MO   65548",(417) 934-2291,"P O BOX 99
          MOUNTAIN VIEW, MO   65548",3822,,,63-221-01,3,2,03/22/2022,"81,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,DOUGLAS G CHANEY,CHANEY EXPRESS,"1210 RD 8
            GENEVA, NE   68361",(402) 469-6017,"1210 RD 8
          GENEVA, NE   68361",3837,,MC-239152,10-464-2988,1,1,03/29/2023,"25,650 (2022)"
CARRIER,ACTIVE,None,SOUTHERN MISSOURI CONTAINERS INC,SMC PACKAGING GROUP ARROWHEAD CONTAINERS INC WONDER STATE BOX COMPANY INC SOONER PACKAGING INC,"4500 E PROGRESS PLACE
            SPRINGFIELD, MO   65803",(417) 831-2685,"P O BOX 4306
          SPRINGFIELD, MO   65808-4306",3838,,,57-894-065,29,47,08/29/2023,"1,658,935 (2022)"
CARRIER,ACTIVE,None,SOUTHERN SUPPLY CO,,"3216 E DIVISION
            SPRINGFIELD, MO   65802",(417) 866-3551,"P O BOX 2115
          SPRINGFIELD, MO   65801-2115",3841,,,71-271-03,2,2,11/15/2023,"38,031 (2022)"
CARRIER,AUTHORIZED FOR Property,None,SPRINGFIELD GROCER COMPANY,SGC FOODSERVICE,"2415 BATTLEFIELD STREET
            SPRINGFIELD, MO   65807-4005",(417) 883-4230,"2415 BATTLEFIELD STREET
          SPRINGFIELD, MO   65807-4005",3849,,MC-649433,69-689-29,139,159,10/11/2023,"7,772,128 (2023)"
CARRIER,ACTIVE,None,STOCKMAN FEED & FERTILIZER LLC,,"1009 W MILLER ST
            JEFFERSON CITY, MO   65109-1395",(573) 636-8642,"1009 W MILLER ST
          JEFFERSON CITY, MO   65109-1395",3863,,,29-811-080,2,2,09/12/2023,"7,515 (2021)"
CARRIER,ACTIVE,None,STOVER MILLING CO,,"101 MAPLE ST
            STOVER, MO   65078",(573) 377-2611,"P O BOX 190
          STOVER, MO   65078",3865,,,31-150-410,8,8,04/08/2022,"25,000 (2017)"
CARRIER,AUTHORIZED FOR Property,None,STRATMAN TRUCK SERVICE INC,,"305 NORTH COFFEY STREET
            VIENNA, MO   65582",(573) 308-6333,"P O BOX 126
          VIENNA, MO   65582",3867,,MC-88826,--,3,4,02/10/2023,"135,482 (2022)"
CARRIER,ACTIVE,None,THOMAS SALES INC,THOMAS AND SONS RV SUPPLY,"1930 N GLENSTONE
            SPRINGFIELD, MO   65803",(417) 865-6125,"1930 N GLENSTONE
          SPRINGFIELD, MO   65803",3886,,,--,2,1,02/23/2022,"3,250 (2021)"
CARRIER,AUTHORIZED FOR Property,None,TWEHOUS EXCAVATING CO INC,,"8514 LIBERTY RD
            JEFFERSON CITY, MO   65101",(573) 395-4354,"8514 LIBERTY RD
          JEFFERSON CITY, MO   65101",3900,,MC-143521,--,56,72,03/07/2023,"485,540 (2022)"
CARRIER,ACTIVE,None,WALSWORTH PUBLISHING COMPANY INC,,"306 N KANSAS AVE
            MARCELINE, MO   64658",(660) 456-4085,"306 N KANSAS AVE
          MARCELINE, MO   64658",3920,,,29-905-429,5,1,05/01/2023,"56,252 (2022)"
CARRIER,AUTHORIZED FOR Property,None,B J WESSING & SONS INC,,"213 MAIN
            PILOT GROVE, MO   65276-1008",(660) 834-4015,"PO BOX 167
          PILOT GROVE, MO   65276-1008",3929,,MC-199756,41-304-106,4,3,01/24/2022,"230,129 (2021)"
CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,WESTLAKE HARDWARE INC,,"14000 MARSHALL DRIVE
            LENEXA, KS   66215",(913) 888-0808,"14000 MARSHALL DRIVE
          LENEXA, KS   66215",3930,,MC-610027,15-422-3366,1,2,02/24/2021,"30,000 (2021)"
CARRIER,ACTIVE,None,WHELCHEL HARDWARE CO INC,L AND J PLUMBING SUPPLY,"745 STONETREE DRIVE
            BRANSON, MO   65616",(417) 334-3107,"PO BOX 785
          BRANSON, MO   65615",3934,,,71-789-99,5,5,04/19/2023,"46,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,BENNETT SECURED TRANSPORT LLC,,"17275 CIMARRON ROAD
            CARTHAGE, MO   64836",(800) 866-5500,"1001 INDUSTRIAL PARKWAY
          MCDONOUGH, GA   30253",3942,,MC-450983,--,13,13,05/12/2023,"834,468 (2021)"
CARRIER,ACTIVE,None,W B YOUNG CO INC,,"2571 S ODELL
            MARSHALL, MO   65340",(660) 886-7427,"PO BOX 400
          MARSHALL, MO   65340",3968,,,29-907-714,7,6,07/13/2022,"20,000 (2021)"
CARRIER,ACTIVE,None,KLAHRE'S PULPWOOD LOGS & LUMBER INC,,"5637 BIG CREEK ROAD
            CLEARVILLE, PA   15535",(814) 784-3293,"5637 BIG CREEK ROAD
          CLEARVILLE, PA   15535",3983,,,--,3,2,12/07/2022,"111,428 (2021)"
CARRIER,NOT AUTHORIZED,None,THOMAS J PECK AND SONS INC,,"6391 W 10500 N
            HIGHLAND, UT   84003",(801) 368-3928,"6391 W 10500 N
          HIGHLAND, UT   84003",3993,,MC-112076,28-093-25,0,1,11/16/2023,10 (2023)
CARRIER,AUTHORIZED FOR Property,None,PETERSON EQUIPMENT MANAGEMENT LLC,PETERSON EQUIPMENT COMPANY,"80 E 4000 N
            HYDE PARK, UT   84318",(435) 752-5110,"PO BOX 720
          HYDE PARK, UT   84318",3996,,MC-1107260,35-318-237,7,8,07/10/2023,"250,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,SAVAGE SERVICES CORPORATION,SAVAGE,"901 WEST LEGACY CENTER WAY
            MIDVALE, UT   84047",(801) 944-6600,"901 WEST LEGACY CENTER WAY
          MIDVALE, UT   84047",4015,,MC-1872,10-270-4954,598,790,10/04/2023,"37,563,953 (2022)"
CARRIER,ACTIVE,None,SWEETMAN CONST CO,DBA KNIFE RIVER DBA CONCRETE MATERIALS,"1500 N SWEETMAN PLACE
            SIOUX FALLS, SD   57107",(605) 336-5760,"PO BOX 84140
          SIOUX FALLS, SD   57118-4140",4019,,,38-967-43,108,71,09/11/2023,"1,280,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,DANIELSKI FARMS INC,,"29289  269TH AVENUE
            CROOKSTON, NE   69212-0038",(402) 376-3039,"PO BOX 230
          VALENTINE, NE   69201",4053,,MC-311439,99-564-759,34,32,02/09/2023,"962,718 (2022)"
CARRIER,AUTHORIZED FOR Property,None,JOHN KUHNI SONS INC,,"6480 WEST MILLS ROAD
            LEVAN, UT   84639",(435) 758-7600,"PO BOX 15
          NEPHI, UT   84648",4128,,MC-209345,35-340-348,10,3,07/31/2023,"600,000 (2023)"
CARRIER/SHIPPER,ACTIVE,None,DYNO NOBEL INC,,"6440 S MILLROCK DRIVE SUITE 150
            SALT LAKE CITY, UT   84121",(801) 321-6973,"6440 S MILLROCK DRIVE STE 150
          SALT LAKE CITY, UT   84121",4183,,,70-546-445,230,164,06/21/2022,"2,298,075 (2019)"
CARRIER,ACTIVE,None,WEBB FURNITURE ENTERPRISES LLC,WEBB PARTICLEBOARD & AMERICAN MIRROR,"602 EAST STUART DRIVE
            GLAX-GALAX, VA   24333",(276) 236-5111,"300 EAST GRAYSON ST
          GLAX-GALAX, VA   24333",4185,,,54-045-679,3,2,10/12/2022,"14,434 (2021)"
CARRIER,ACTIVE,None,H S WILLIAMS COMPANY INC,,"1320 HIGHWAY 16
            MARION, VA   24354",(276) 783-3185,"PO BOX 888
          MARION, VA   24354",4186,,,--,17,7,12/22/2022,"8,116 (2022)"
CARRIER,ACTIVE,None,RAMSEY & SON LUMBER CORPORATION,,"299 TOYTOWN ROAD
            AMHERST, VA   24521",(434) 946-5429,"PO BOX 484
          AMHERST, VA   24521",4199,,,13-936-5043,1,2,10/20/2022,"92,697 (2021)"
CARRIER,AUTHORIZED FOR Property,None,PAUL SWENGLISH TRUCKING,,"211 HADDENVILLE RD
            UNIONTOWN, PA   15401",(724) 438-5703,"211 HADDENVILLE RD
          UNIONTOWN, PA   15401",4202,,MC-140884,--,14,6,12/18/2023,"160,000 (2018)"
CARRIER,ACTIVE,None,CITCO WATER,,"4034 ALTIZER AVENUE
            HUNTINGTON, WV   25705",(304) 523-3484,"P O BOX 2163
          HUNTINGTON, WV   25722",4213,,,50-179-18,16,24,03/16/2023,"915,028 (2022)"
CARRIER,ACTIVE,None,TRI-STATE ROOFING & SHEET METAL COMPANY OF WEST VIRGINIA,,"ROCK BRANCH INDUSTRIAL PARK -321 HARRIS DRIVE
            POCA, WV   25159",(304) 755-8135,"PO BOX 1231
          CHARLESTON, WV   25324-1231",4232,,,98-436-488,17,16,01/28/2023,"4,597 (2022)"
CARRIER,ACTIVE,None,TRI-STATE ROOFING & SHEET METAL COMPANY OF OHIO,,"101 SOUTH MEADVILLE ROAD
            DAVISVILLE, WV   26142-9605",(304) 485-6593,"PO BOX 1949
          PARKERSBURG, WV   26102",4233,,,42-512-731,42,76,03/27/2023,"584,232 (2022)"
CARRIER/CARGO TANK,AUTHORIZED FOR Property,None,GROENDYKE TRANSPORT INC,,"2510 ROCK ISLAND BLVD
            ENID, OK   73701",(580) 234-4663,"P O BOX 632
          ENID, OK   73702-0632",4247,,MC-111401,79-057-48,876,842,11/29/2023,"56,493,505 (2022)"
CARRIER,AUTHORIZED FOR Property,None,WEIKLE BROS LUMBER CO,,"2614 WOLF CREEK RD
            SINKS GROVE, WV   24976",(304) 772-5429,"PO BOX 615
          UNION, WV   24983",4272,,MC-481155,16-158-040,1,2,02/02/2023,"3,000 (2022)"
CARRIER,ACTIVE,None,WEST VIRGINIA ELECTRIC SUPPLY COMPANY,,"250 12TH ST W
            HUNTINGTON, WV   25704-1638",(304) 751-5644,"250 12TH ST W
          HUNTINGTON, WV   25704-1638",4284,,,50-165-48,3,12,07/06/2023,"174,000 (2021)"
CARRIER,ACTIVE,None,WEST VIRGINIA PAVING INC,,"2950 CHARLES AVE
            DUNBAR, WV   25064",(304) 768-9733,"PO BOX 544
          DUNBAR, WV   25064",4286,,,--,46,96,10/10/2023,"260,000 (2022)"
CARRIER,ACTIVE,None,WEST VIRGINIA STEEL CORPORATION,,"327 GLASS ADDITION ROAD
            POCA, WV   25159-7219",(304) 755-5638,"327 GLASS ADDTION ROAD
          POCA, WV   25159",4288,,,50-047-91,8,5,03/16/2022,"88,233 (2021)"
CARRIER,ACTIVE,None,MOUNTAIN STATE PETROLEUM INC,,"176 SPRINGFIELD RD
            WILKINSON, WV   25653",(304) 752-6944,"176 SPRINGFIELD RD
          WILKINSON, WV   25653",4292,,,--,2,1,04/18/2021,"4,997 (2021)"
CARRIER,ACTIVE,None,VECELLIO & GROGAN INC,,"2251 ROBERT BYRD DRIVE
            BECKLEY, WV   25801",(304) 252-6575,"PO BOX 2438
          BECKLEY, WV   25802-2819",4315,,,79-441-84,53,41,01/09/2023,"520,901 (2022)"
CARRIER,ACTIVE,None,FRANK E WILSON LUMBER CO INC,,"317 DAVIS AVENUE
            ELKINS, WV   26241-3846",(304) 636-3000,"PO BOX 1277
          ELKINS, WV   26241-1277",4369,,,16-052-235,1,1,09/26/2018,"35,075 (2017)"
CARRIER,ACTIVE,None,CAMPBELL TRACTOR & IMPLEMENT INC,CAMPBELL TRACTOR,"2014 N FRANKLIN BLVD
            NAMPA, ID   83687",(208) 466-8414,"2014 N FRANKLIN BLVD
          NAMPA, ID   83687",4400,,,33-982-703,21,22,10/26/2023,"352,125 (2022)"
CARRIER,ACTIVE,None,WILLIAM E BRUMMETT,SILVER STILL GYPSUM,"745 HILLCREST DR
            WEISER, ID   83672",(208) 549-2288,"PO BOX 68
          WEISER, ID   83672",4435,,,--,1,2,,
CARRIER/SHIPPER,ACTIVE,None,BINNS & STEVENS EXPLOSIVES INC,,"1503 17TH AVE EAST
            OSKALOOSA, IA   52577",(641) 672-2566,"PO BOX 1005
          OSKALOOSA, IA   52577",4476,,,22-282-537,12,16,05/01/2023,"335,729 (2022)"
CARRIER,AUTHORIZED FOR Property,None,BISOM TRUCK LINE INC,,"725 1ST ST N
            NEWTON, IA   50208",(641) 243-2009,"725 1ST ST N
          NEWTON, IA   50208",4478,,MC-59317,88-636-56,8,8,11/15/2023,"507,362 (2022)"
CARRIER,AUTHORIZED FOR Property,None,ANGOLA WIRE PRODUCTS INC,BARKER WIRE PRODUCTS DIVISION,"708 WATER ST
            KEOSAUQUA, IA   52565",(319) 293-3176,"P O BOX 457
          KEOSAUQUA, IA   52565-0457",4481,,MC-184758,10-233-2624,2,2,01/10/2022,"125,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,J D B INVESTMENTS LLC,BIXLER BROS TRUCKLINE,"1629 140TH ST
            CLARENCE, IA   52216",(563) 452-3641,"P O BOX 403
          CLARENCE, IA   52216",4484,,MC-455488,53-108-59,4,3,11/14/2022,"154,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,DWAINE LEE LLC,B & W WRECKER SERVICE,"20 S GARDEN
            BOISE, ID   83705",(208) 342-2541,"20 S GARDEN
          BOISE, ID   83705",4485,,MC-722852,62-526-954,14,9,08/30/2023,"394,411 (2022)"
CARRIER,NOT AUTHORIZED,None,BLACKFOOT TRANSFER LLC,,"70 DOUD ST
            BLACKFOOT, ID   83221",(208) 785-0150,"70 DOUD ST
          BLACKFOOT, ID   83221",4486,,MC-121100,87-494-5835,3,3,12/06/2013,"36,107 (2012)"
